city_name,bathrooms,address,carpet_area,floors,price,price_per_sq_ft
Aurangabad,2,"Aurangabad, Maharashtra",1200,,9200000,7077
Aurangabad,2,"Aurangabad, Maharashtra",,4,3900000,5270
Aurangabad,3,"Aurangabad, Maharashtra",1500,9,13000000,8125
Aurangabad,3,"Aurangabad, Maharashtra",1050,9,13500000,8571
Aurangabad,2,"Aurangabad, Maharashtra",750,4,3000000,3158
Aurangabad,1,"Aurangabad, Maharashtra",,8,7200000,5760
Aurangabad,2,"Aurangabad, Maharashtra",650,5,3800000,4222
Aurangabad,1,"Aurangabad, Maharashtra",570,5,4000000,5215
Aurangabad,5,"Aurangabad, Maharashtra",2700,,49900000,18481
Aurangabad,3,"Aurangabad, Maharashtra",1050,7,11000000,8800
Aurangabad,2,"Aurangabad, Maharashtra",,2,2500000,2778
Aurangabad,2,"Aurangabad, Maharashtra",,4,5500000,5500
Aurangabad,2,"Aurangabad, Maharashtra",1000,5,5500000,
Aurangabad,3,"Aurangabad, Maharashtra",1230,7,14000000,8130
Aurangabad,2,"Aurangabad, Maharashtra",,4,4500000,4500
Aurangabad,1,"Aurangabad, Maharashtra",775,4,2800000,3111
Aurangabad,2,"Aurangabad, Maharashtra",1200,,6000000,3871
Aurangabad,2,"Aurangabad, Maharashtra",,,5700000,5700
Aurangabad,2,"Aurangabad, Maharashtra",,5,6500000,6311
Aurangabad,1,"Aurangabad, Maharashtra",650,4,2521000,
Aurangabad,2,"Aurangabad, Maharashtra",,4,4000000,5865
Aurangabad,2,"Aurangabad, Maharashtra",,5,6500000,7620
Aurangabad,2,"Aurangabad, Maharashtra",900,2,3500000,
Aurangabad,2,"Aurangabad, Maharashtra",600,,5100000,6000
Aurangabad,2,"Aurangabad, Maharashtra",875,,6500000,
Aurangabad,2,"Aurangabad, Maharashtra",650,3,2700000,2842
Aurangabad,2,"Aurangabad, Maharashtra",1150,7,5000000,4348
Aurangabad,2,"Aurangabad, Maharashtra",1200,3,6000000,4615
Aurangabad,2,"Aurangabad, Maharashtra",534,4,1900000,
Aurangabad,2,"Aurangabad, Maharashtra",,3,8500000,7391
Aurangabad,2,"Aurangabad, Maharashtra",980,,11000000,8594
Aurangabad,2,"Aurangabad, Maharashtra",,3,6100000,5214
Aurangabad,2,"Aurangabad, Maharashtra",,5,5500000,5000
Aurangabad,2,"Aurangabad, Maharashtra",620,,5200000,5622
Aurangabad,2,"Aurangabad, Maharashtra",,2,5000000,3846
Aurangabad,3,"Aurangabad, Maharashtra",,,8500000,3696
Aurangabad,1,"Aurangabad, Maharashtra",900,7,5500000,6111
Aurangabad,2,"Aurangabad, Maharashtra",580,4,3600000,3789
Aurangabad,2,"Aurangabad, Maharashtra",850,4,5000000,5000
Aurangabad,2,"Aurangabad, Maharashtra",,,2500000,2083
Aurangabad,3,"Aurangabad, Maharashtra",1043,3,5100000,
Aurangabad,3,"Aurangabad, Maharashtra",1050,5,4500000,4286
Aurangabad,2,"Aurangabad, Maharashtra",,4,4500000,4167
Aurangabad,2,"Aurangabad, Maharashtra",700,3,3700000,4933
Aurangabad,2,"Aurangabad, Maharashtra",,4,5500000,4400
Aurangabad,2,"Aurangabad, Maharashtra",,4,5500000,4583
Aurangabad,2,"Aurangabad, Maharashtra",,1,9000000,6000
Aurangabad,2,"Aurangabad, Maharashtra",1100,4,5400000,4154
Aurangabad,2,"Aurangabad, Maharashtra",,5,3600000,4211
Aurangabad,2,"Aurangabad, Maharashtra",,4,4000000,3636
Aurangabad,2,"Aurangabad, Maharashtra",,7,3500000,4930
Aurangabad,,"Aurangabad, Maharashtra",,,3300000,
Aurangabad,2,"Aurangabad, Maharashtra",760,3,4650000,4227
Aurangabad,2,"Aurangabad, Maharashtra",,5,3000000,3429
Aurangabad,1,"Aurangabad, Maharashtra",600,3,2200000,3492
Aurangabad,2,"Aurangabad, Maharashtra",,6,2600000,2416
Aurangabad,2,"Aurangabad, Maharashtra",,4,4300000,4526
Aurangabad,2,"Aurangabad, Maharashtra",600,4,3550000,5071
Aurangabad,2,"Aurangabad, Maharashtra",645,4,3100000,3392
Aurangabad,4,"Aurangabad, Maharashtra",610,,6800000,4964
Aurangabad,3,"Aurangabad, Maharashtra",713,6,3300000,
Aurangabad,2,"Aurangabad, Maharashtra",,4,3999000,
Aurangabad,2,"Aurangabad, Maharashtra",692,6,4070000,3769
Aurangabad,1,"Aurangabad, Maharashtra",,2,3300000,6000
Aurangabad,2,"Aurangabad, Maharashtra",600,4,2300000,2421
Aurangabad,1,"Aurangabad, Maharashtra",760,3,2500000,3289
Aurangabad,2,"Aurangabad, Maharashtra",,7,5000000,3704
Aurangabad,3,"Aurangabad, Maharashtra",,,4500000,3494
Aurangabad,2,"Aurangabad, Maharashtra",,5,4500000,6000
Aurangabad,2,"Aurangabad, Maharashtra",,3,4500000,4500
Aurangabad,3,"Aurangabad, Maharashtra",,7,9000000,6207
Aurangabad,2,"Aurangabad, Maharashtra",530,4,3500000,5000
Aurangabad,2,"Aurangabad, Maharashtra",,,2500000,2083
Aurangabad,1,"Aurangabad, Maharashtra",560,4,3300000,5077
Aurangabad,2,"Aurangabad, Maharashtra",1200,2,4000000,3333
Aurangabad,2,"Aurangabad, Maharashtra",1150,6,5200000,
Aurangabad,2,"Aurangabad, Maharashtra",505,4,3500000,
Aurangabad,2,"Aurangabad, Maharashtra",,4,6850000,5352
Aurangabad,2,"Aurangabad, Maharashtra",,4,5550000,4826
Aurangabad,2,"Aurangabad, Maharashtra",,4,5400000,5769
Aurangabad,1,"Aurangabad, Maharashtra",,4,2200000,3524
Aurangabad,2,"Aurangabad, Maharashtra",,3,6000000,8000
Aurangabad,1,"Aurangabad, Maharashtra",,4,3400000,3431
Aurangabad,2,"Aurangabad, Maharashtra",,4,5000000,5882
Aurangabad,2,"Aurangabad, Maharashtra",,3,3500000,3500
Aurangabad,2,"Aurangabad, Maharashtra",1100,3,4200000,3000
Aurangabad,1,"Aurangabad, Maharashtra",1240,,10000000,4902
Aurangabad,2,"Aurangabad, Maharashtra",1300,,10000000,6868
Aurangabad,2,"Aurangabad, Maharashtra",700,8,4500000,
Aurangabad,3,"Aurangabad, Maharashtra",1350,10,13300000,8867
Aurangabad,,"Aurangabad, Maharashtra",,,5500000,5789
Aurangabad,2,"Aurangabad, Maharashtra",,3,3500000,4493
Aurangabad,2,"Aurangabad, Maharashtra",1025,3,6551000,5823
Aurangabad,2,"Aurangabad, Maharashtra",,5,3500000,4667
Aurangabad,4,"Aurangabad, Maharashtra",,3,12000000,4286
Aurangabad,2,"Aurangabad, Maharashtra",,4,7000000,7000
Aurangabad,2,"Aurangabad, Maharashtra",,4,4000000,6349
Aurangabad,2,"Aurangabad, Maharashtra",,,5200000,5652
Aurangabad,2,"Aurangabad, Maharashtra",,5,3200000,3653
Aurangabad,2,"Aurangabad, Maharashtra",,5,4000000,6667
Aurangabad,1,"Aurangabad, Maharashtra",650,3,1500000,2000
Aurangabad,3,"Aurangabad, Maharashtra",,,7000000,7527
Aurangabad,1,"Aurangabad, Maharashtra",1000,3,8000000,6667
Aurangabad,2,"Aurangabad, Maharashtra",650,6,2800000,4000
Aurangabad,2,"Aurangabad, Maharashtra",,4,3100000,4559
Aurangabad,2,"Aurangabad, Maharashtra",560,2,5600000,6087
Aurangabad,2,"Aurangabad, Maharashtra",,8,4500000,4615
Aurangabad,4,"Aurangabad, Maharashtra",,1,6500000,6500
Aurangabad,2,"Aurangabad, Maharashtra",,5,2451000,2884
Aurangabad,2,"Aurangabad, Maharashtra",670,4,4000000,5333
Aurangabad,2,"Aurangabad, Maharashtra",650,6,6000000,6000
Aurangabad,1,"Aurangabad, Maharashtra",600,,3550000,5917
Aurangabad,1,"Aurangabad, Maharashtra",700,3,4500000,4891
Aurangabad,2,"Aurangabad, Maharashtra",,3,3000000,3529
Aurangabad,2,"Aurangabad, Maharashtra",780,5,5700000,5429
Aurangabad,2,"Aurangabad, Maharashtra",950,3,7000000,7292
Aurangabad,2,"Aurangabad, Maharashtra",,,6000000,4615
Aurangabad,2,"Aurangabad, Maharashtra",700,3,3199000,4265
Aurangabad,3,"Aurangabad, Maharashtra",,,17000000,8500
Aurangabad,2,"Aurangabad, Maharashtra",586,4,3300000,5500
Aurangabad,3,"Aurangabad, Maharashtra",,,7500000,6000
Aurangabad,2,"Aurangabad, Maharashtra",,4,6500000,6500
Aurangabad,1,"Aurangabad, Maharashtra",695,3,2300000,
Aurangabad,2,"Aurangabad, Maharashtra",,,9000000,4839
Aurangabad,2,"Aurangabad, Maharashtra",850,,5800000,4833
Aurangabad,2,"Aurangabad, Maharashtra",,3,9000000,7500
Aurangabad,1,"Aurangabad, Maharashtra",600,3,2200000,2750
Aurangabad,1,"Aurangabad, Maharashtra",750,4,2800000,
Aurangabad,2,"Aurangabad, Maharashtra",700,6,3200000,4267
Aurangabad,2,"Aurangabad, Maharashtra",517,4,2300000,4449
Aurangabad,1,"Aurangabad, Maharashtra",1050,3,4200000,
Aurangabad,1,"Aurangabad, Maharashtra",,4,2900000,3412
Aurangabad,2,"Aurangabad, Maharashtra",,4,3000000,3261
Aurangabad,2,"Aurangabad, Maharashtra",55,2,3600000,52174
Aurangabad,2,"Aurangabad, Maharashtra",,7,2500000,2632
Aurangabad,2,"Aurangabad, Maharashtra",780,5,4500000,4891
Aurangabad,2,"Aurangabad, Maharashtra",,6,5000000,8333
Aurangabad,1,"Aurangabad, Maharashtra",,1,3800000,4750
Aurangabad,2,"Aurangabad, Maharashtra",1000,3,5000000,5000
Aurangabad,1,"Aurangabad, Maharashtra",,3,4700000,6267
Aurangabad,2,"Aurangabad, Maharashtra",,,4000000,4000
Aurangabad,2,"Aurangabad, Maharashtra",900,7,5500000,6111
Aurangabad,2,"Aurangabad, Maharashtra",,4,3600000,5766
Aurangabad,3,"Aurangabad, Maharashtra",1224,,22500000,15000
Aurangabad,2,"Aurangabad, Maharashtra",,3,4500000,6618
Aurangabad,2,"Aurangabad, Maharashtra",510,7,3200000,4908
Aurangabad,3,"Aurangabad, Maharashtra",748,2,15000000,18248
Aurangabad,2,"Aurangabad, Maharashtra",856,7,5000000,4263
Aurangabad,1,"Aurangabad, Maharashtra",,1,2000000,3333
Aurangabad,2,"Aurangabad, Maharashtra",,4,8000000,6838
Aurangabad,2,"Aurangabad, Maharashtra",749,7,3900000,3250
Aurangabad,2,"Aurangabad, Maharashtra",,5,2500000,4167
Aurangabad,2,"Aurangabad, Maharashtra",730,4,7500000,6000
Aurangabad,2,"Aurangabad, Maharashtra",750,7,3000000,3529
Aurangabad,2,"Aurangabad, Maharashtra",,,2800000,4000
Aurangabad,3,"Aurangabad, Maharashtra",2500,,25000000,8333
Aurangabad,1,"Aurangabad, Maharashtra",,4,4800000,8000
Aurangabad,2,"Aurangabad, Maharashtra",580,6,5500000,5914
Aurangabad,3,"Aurangabad, Maharashtra",1440,5,13500000,13776
Aurangabad,1,"Aurangabad, Maharashtra",800,1,4400000,
Aurangabad,2,"Aurangabad, Maharashtra",750,5,4200000,4941
Aurangabad,1,"Aurangabad, Maharashtra",,7,3000000,3226
Aurangabad,2,"Aurangabad, Maharashtra",960,6,4500000,
Aurangabad,2,"Aurangabad, Maharashtra",,6,7200000,9664
Aurangabad,2,"Aurangabad, Maharashtra",,5,3500000,3646
Aurangabad,2,"Aurangabad, Maharashtra",,7,4000000,4283
Aurangabad,1,"Aurangabad, Maharashtra",549,4,2900000,4833
Aurangabad,2,"Aurangabad, Maharashtra",,,36000000,16364
Aurangabad,2,"Aurangabad, Maharashtra",,3,4100000,3727
Aurangabad,2,"Aurangabad, Maharashtra",556,4,3100000,4960
Aurangabad,2,"Aurangabad, Maharashtra",,4,2500000,2500
Aurangabad,1,"Aurangabad, Maharashtra",570,4,2110000,3246
Aurangabad,2,"Aurangabad, Maharashtra",980,8,8000000,7273
Aurangabad,2,"Aurangabad, Maharashtra",750,4,3200000,3448
Aurangabad,2,"Aurangabad, Maharashtra",,2,3500000,2800
Aurangabad,2,"Aurangabad, Maharashtra",1000,7,4500000,
Aurangabad,1,"Aurangabad, Maharashtra",,7,2900000,3384
Aurangabad,2,"Aurangabad, Maharashtra",,,3500000,4375
Aurangabad,4,"Aurangabad, Maharashtra",1700,,6700000,6907
Aurangabad,2,"Aurangabad, Maharashtra",,6,5000000,6993
Aurangabad,2,"Aurangabad, Maharashtra",,4,8000000,6154
Aurangabad,2,"Aurangabad, Maharashtra",,4,3200000,3478
Aurangabad,2,"Aurangabad, Maharashtra",1100,4,6500000,5417
Aurangabad,3,"Aurangabad, Maharashtra",1300,13,8300000,5188
Aurangabad,2,"Aurangabad, Maharashtra",640,5,5500000,5511
Aurangabad,1,"Aurangabad, Maharashtra",,3,3000000,3750
Aurangabad,2,"Aurangabad, Maharashtra",900,4,2500000,2941
Aurangabad,2,"Aurangabad, Maharashtra",,4,3000000,3529
Aurangabad,1,"Aurangabad, Maharashtra",690,3,2400000,3158
Aurangabad,2,"Aurangabad, Maharashtra",,3,3500000,5000
Aurangabad,2,"Aurangabad, Maharashtra",750,7,4400000,4048
Aurangabad,2,"Aurangabad, Maharashtra",905,7,7500000,6000
Aurangabad,2,"Aurangabad, Maharashtra",,2,2300000,2614
Aurangabad,3,"Aurangabad, Maharashtra",,2,12500000,8333
Aurangabad,2,"Aurangabad, Maharashtra",,4,3200000,4776
Aurangabad,2,"Aurangabad, Maharashtra",,5,4800000,5333
Aurangabad,1,"Aurangabad, Maharashtra",,4,3400000,3765
Aurangabad,2,"Aurangabad, Maharashtra",,3,3000000,3061
Aurangabad,2,"Aurangabad, Maharashtra",,13,9500000,8636
Aurangabad,1,"Aurangabad, Maharashtra",577,3,2500000,3846
Aurangabad,2,"Aurangabad, Maharashtra",700,3,2500000,2941
Aurangabad,2,"Aurangabad, Maharashtra",,,6100000,7531
Aurangabad,1,"Aurangabad, Maharashtra",,4,5500000,7333
Aurangabad,3,"Aurangabad, Maharashtra",91,,9000000,67164
Aurangabad,2,"Aurangabad, Maharashtra",1000,3,6500000,6500
Aurangabad,2,"Aurangabad, Maharashtra",,8,5000000,4000
Aurangabad,1,"Aurangabad, Maharashtra",,,7000000,5600
Aurangabad,2,"Aurangabad, Maharashtra",,5,2500000,4167
Aurangabad,2,"Aurangabad, Maharashtra",790,3,3800000,3838
Aurangabad,1,"Aurangabad, Maharashtra",2290,,40000000,
Aurangabad,2,"Aurangabad, Maharashtra",,4,6500000,5078
Aurangabad,2,"Aurangabad, Maharashtra",625,6,2700000,3273
